Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2015-05-06,AMZN,0.0,0.0,1.0,0.0
2015-05-07,AMZN,0.0829878048780488,0.097,0.8733024726854515,0.1714
2015-05-21,AMZN,0.072,0.0,0.928,0.1779
2015-07-16,AMZN,0.038,0.0,0.962,0.1779
2015-07-23,AMZN,0.19409090909090904,0.0,0.8078792569659442,0.5359602211302211
2015-07-24,AMZN,0.222,0.026,0.752,0.8768
2015-07-29,AMZN,0.0,0.0,1.0,0.0
2015-07-30,AMZN,0.079,0.0,0.9209999999999999,0.3818
2015-08-26,AMZN,0.0881242603550296,0.188,0.8286238587948874,-0.2988
2015-08-27,AMZN,0.099,0.0,0.901,0.5927
2015-08-28,AMZN,0.0,0.0,1.0,0.0
2015-10-22,AMZN,0.20686206896551723,0.0,0.7979836888331243,0.6333709908735332
2015-10-26,AMZN,0.09,0.086,0.824,0.0258
2015-11-04,AMZN,0.22400000000000003,0.0,0.9021261261261262,0.7964
2015-12-08,AMZN,0.127,0.0,0.8729999999999999,0.5423
2015-12-10,AMZN,0.118,0.0,0.882,0.5719
2015-12-11,AMZN,0.082,0.0,0.918,0.1972
2015-12-22,AMZN,0.0,0.0,1.0,0.0
2016-01-20,AMZN,0.0,0.13,0.87,-0.2732
2016-01-28,AMZN,0.191,0.0,0.809,0.8180999999999999
2016-01-29,AMZN,0.166,0.123,0.7110000000000001,0.4915
2016-02-01,AMZN,0.191,0.0,0.809,0.5106
2016-02-10,AMZN,0.0,0.0,1.0,0.0
2016-02-29,AMZN,0.238,0.0,0.762,0.7578999999999999
2016-03-07,AMZN,0.108,0.0,0.892,0.5256
2016-03-08,AMZN,0.0,0.0,1.0,0.0
2016-03-11,AMZN,0.122,0.0,0.878,0.7351000000000001
2016-03-17,AMZN,0.036,0.0,0.964,0.1779
2016-04-27,AMZN,0.35500000000000004,0.0,0.645,0.9249
2016-04-28,AMZN,0.16580536912751678,0.0,0.853942420681551,0.47822497400346625
2016-05-03,AMZN,0.069,0.12,0.8119999999999999,-0.323
2016-05-04,AMZN,0.0,0.0,1.0,0.0
2016-05-10,AMZN,0.0,0.074,0.926,-0.25
2016-06-01,AMZN,0.206,0.0,0.7940000000000002,0.3818
2016-06-06,AMZN,0.22,0.0,0.78,0.5859
2016-06-15,AMZN,0.0,0.115,0.885,-0.296
2016-07-13,AMZN,0.116,0.0,0.884,0.1779
2016-07-25,AMZN,0.0,0.0,1.0,0.0
2016-07-26,AMZN,0.0,0.132,0.868,-0.5267
2016-07-27,AMZN,0.0,0.0,1.0,0.0
